Event,Time,Fromnode,Tonode,Pkttype,PktSize,.....,Flags,Fid,Srcaddr,Dstaddr,Seqnum,Pktid
r,1.3058,1,2,cbr,1000,-------,2,1.0,0.0,150,2036,
r,1.3218,1,2,cbr,1000,-------,2,1.0,0.0,152,2066,
r,1.3298,1,2,cbr,1000,-------,2,1.0,0.0,153,2082,
r,1.3458,1,2,cbr,1000,-------,2,1.0,0.0,155,2113,
r,1.3538,1,2,cbr,1000,-------,2,1.0,0.0,156,2128,
r,1.3778,1,2,cbr,1000,-------,2,1.0,0.0,159,2175,
r,1.4258,1,2,cbr,1000,-------,2,1.0,0.0,165,2271,
r,1.4338,1,2,cbr,1000,-------,2,1.0,0.0,166,2286,
r,1.4418,1,2,cbr,1000,-------,2,1.0,0.0,167,2301,
r,1.4578,1,2,cbr,1000,-------,2,1.0,0.0,169,2335,
r,1.4738,1,2,cbr,1000,-------,2,1.0,0.0,171,2365,
r,1.4818,1,2,cbr,1000,-------,2,1.0,0.0,172,2381,
r,1.5298,1,2,cbr,1000,-------,2,1.0,0.0,178,2474,
r,1.5538,1,2,cbr,1000,-------,2,1.0,0.0,181,2522,
r,1.5618,1,2,cbr,1000,-------,2,1.0,0.0,182,2537,
r,1.5778,1,2,cbr,1000,-------,2,1.0,0.0,184,2570,
r,1.5858,1,2,cbr,1000,-------,2,1.0,0.0,185,2585,
r,1.5938,1,2,cbr,1000,-------,2,1.0,0.0,186,2599,
r,1.6098,1,2,cbr,1000,-------,2,1.0,0.0,188,2634,
r,1.6258,1,2,cbr,1000,-------,2,1.0,0.0,190,2664,
r,1.6338,1,2,cbr,1000,-------,2,1.0,0.0,191,2680,
r,1.6658,1,2,cbr,1000,-------,2,1.0,0.0,195,2745,
r,1.6738,1,2,cbr,1000,-------,2,1.0,0.0,196,2758,
r,1.6818,1,2,cbr,1000,-------,2,1.0,0.0,197,2773,
r,1.7058,1,2,cbr,1000,-------,2,1.0,0.0,200,2820,
r,1.7138,1,2,cbr,1000,-------,2,1.0,0.0,201,2836,
r,1.7298,1,2,cbr,1000,-------,2,1.0,0.0,203,2869,
r,1.7378,1,2,cbr,1000,-------,2,1.0,0.0,204,2884,
r,1.7458,1,2,cbr,1000,-------,2,1.0,0.0,205,2898,
r,1.7698,1,2,cbr,1000,-------,2,1.0,0.0,208,2946,
r,1.8178,1,2,cbr,1000,-------,2,1.0,0.0,214,3042,
r,1.8258,1,2,cbr,1000,-------,2,1.0,0.0,215,3057,
r,1.8338,1,2,cbr,1000,-------,2,1.0,0.0,216,3072,
r,1.8578,1,2,cbr,1000,-------,2,1.0,0.0,219,3119,
r,1.8658,1,2,cbr,1000,-------,2,1.0,0.0,220,3135,
r,1.8738,1,2,cbr,1000,-------,2,1.0,0.0,221,3151,
r,1.9218,1,2,cbr,1000,-------,2,1.0,0.0,227,3245,
r,1.9698,1,2,cbr,1000,-------,2,1.0,0.0,233,3341,
r,1.9778,1,2,cbr,1000,-------,2,1.0,0.0,234,3356,
r,1.9858,1,2,cbr,1000,-------,2,1.0,0.0,235,3369,
r,2.0018,1,2,cbr,1000,-------,2,1.0,0.0,237,3405,
r,2.0178,1,2,cbr,1000,-------,2,1.0,0.0,239,3434,
r,2.0258,1,2,cbr,1000,-------,2,1.0,0.0,240,3450,
r,2.0738,1,2,cbr,1000,-------,2,1.0,0.0,246,3544,
r,2.0978,1,2,cbr,1000,-------,2,1.0,0.0,249,3592,
r,2.1058,1,2,cbr,1000,-------,2,1.0,0.0,250,3606,
r,2.1218,1,2,cbr,1000,-------,2,1.0,0.0,252,3640,
r,2.1298,1,2,cbr,1000,-------,2,1.0,0.0,253,3655,
r,2.1378,1,2,cbr,1000,-------,2,1.0,0.0,254,3668,
r,2.1618,1,2,cbr,1000,-------,2,1.0,0.0,257,3717,
r,2.1698,1,2,cbr,1000,-------,2,1.0,0.0,258,3733,
r,2.1778,1,2,cbr,1000,-------,2,1.0,0.0,259,3749,
